IQ-TREE multicore version 1.6.8 for Linux 64-bit built Oct 28 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    sango40512.oist.jp (AVX2, FMA3, 755 GB RAM)
Command: iqtree -s clade_2//aln_seqs/EOG093400V7.aln -bb 1000 -redo -nt 3 -m MFP
Seed:    611424 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Wed Mar  6 08:48:18 2019
Kernel:  AVX+FMA - 3 threads (36 CPU cores detected)

Reading alignment file clade_2//aln_seqs/EOG093400V7.aln ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 21 sequences with 1558 columns, 779 distinct patterns
554 parsimony-informative, 195 singleton sites, 809 constant sites
                                     Gap/Ambiguity  Composition  p-value
   1  Kazachstania_africana                  0.00%    passed     99.90%
   2  Kazachstania_naganishii                0.00%    passed     98.57%
   3  Naumovozyma_castellii                  6.29%    passed     99.79%
   4  Naumovozyma_dairenensis                0.00%    passed     99.30%
   5  Tetrapisispora_blattae                 5.58%    passed     99.29%
   6  yHAB132_Kazachstania_martiniae         0.00%    passed    100.00%
   7  yHAB133_Kazachstania_unispora          0.06%    passed    100.00%
   8  yHAB134_Kazachstania_turicensis        7.19%    passed     99.99%
   9  yHAB136_Kazachstania_bromeliacearum    0.00%    passed    100.00%
  10  yHAB143_Kazachstania_siamensis         0.06%    passed    100.00%
  11  yHAB147_Kazachstania_taianensis        0.26%    passed    100.00%
  12  yHAB148_Kazachstania_intestinalis      6.29%    passed     99.99%
  13  yHAB153_Kazachstania_rosinii           2.50%    passed     99.96%
  14  yHAB154_Kazachstania_transvaalensis    0.19%    passed    100.00%
  15  yHAB155_Kazachstania_spencerorum       0.00%    passed     99.94%
  16  yHAB158_Kazachstania_viticola          0.00%    passed     99.99%
  17  yHAB159_Kazachstania_solicola          0.06%    passed    100.00%
  18  yHAB160_Kazachstania_kunashirensis     6.29%    passed     99.89%
  19  yHAB164_Kazachstania_aerobia           0.06%    passed    100.00%
  20  yHAB166_Kazachstania_yakushimaensis    1.03%    passed    100.00%
  21  yHMPu5000035629_Yueomyces_sinensis     6.29%    passed     99.46%
****  TOTAL                                  2.01%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.003 seconds
NOTE: ModelFinder requires 29 MB RAM!
ModelFinder will test 546 protein models (sample size: 1558) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       21619.317    39  43316.635    43318.690    43525.330
  2  Dayhoff+I     20427.044    40  40934.088    40936.251    41148.135
  3  Dayhoff+G4    20035.936    40  40151.873    40154.035    40365.919
  4  Dayhoff+I+G4  20014.239    41  40110.477    40112.749    40329.875
  5  Dayhoff+R2    20113.212    41  40308.425    40310.696    40527.822
  6  Dayhoff+R3    20018.564    43  40123.128    40125.627    40353.228
  7  Dayhoff+R4    20004.466    45  40098.932    40101.670    40339.734
  8  Dayhoff+R5    20004.395    47  40102.791    40105.779    40354.295
 14  Dayhoff+F     21428.085    58  42972.171    42976.736    43282.538
 15  Dayhoff+F+I   20212.471    59  40542.942    40547.668    40858.660
 16  Dayhoff+F+G4  19816.799    59  39751.597    39756.324    40067.316
 17  Dayhoff+F+I+G4 19795.961    60  39711.921    39716.811    40032.991
 18  Dayhoff+F+R2  19896.402    60  39912.805    39917.695    40233.874
 19  Dayhoff+F+R3  19799.782    62  39723.565    39728.790    40055.337
 20  Dayhoff+F+R4  19786.298    64  39700.597    39706.169    40043.071
 21  Dayhoff+F+R5  19786.287    66  39704.574    39710.506    40057.750
 27  mtMAM         22999.969    39  46077.938    46079.993    46286.633
 28  mtMAM+I       21731.475    40  43542.950    43545.112    43756.996
 29  mtMAM+G4      20853.964    40  41787.928    41790.091    42001.975
 30  mtMAM+I+G4    20804.684    41  41691.369    41693.640    41910.766
 31  mtMAM+R2      21117.027    41  42316.054    42318.325    42535.451
 32  mtMAM+R3      20813.619    43  41713.237    41715.737    41943.337
 33  mtMAM+R4      20756.084    45  41602.169    41604.907    41842.971
 34  mtMAM+R5      20756.047    47  41606.094    41609.082    41857.599
 40  mtMAM+F       22126.942    58  44369.883    44374.449    44680.251
 41  mtMAM+F+I     20832.609    59  41783.218    41787.945    42098.937
 42  mtMAM+F+G4    20199.759    59  40517.518    40522.244    40833.236
 43  mtMAM+F+I+G4  20155.420    60  40430.839    40435.729    40751.909
 44  mtMAM+F+R2    20359.999    60  40839.998    40844.888    41161.067
 45  mtMAM+F+R3    20157.717    62  40439.434    40444.659    40771.206
 46  mtMAM+F+R4    20127.079    64  40382.157    40387.730    40724.631
 47  mtMAM+F+R5    20127.069    66  40386.138    40392.069    40739.314
 53  JTT           21393.659    39  42865.319    42867.374    43074.014
 54  JTT+I         20209.282    40  40498.563    40500.725    40712.610
 55  JTT+G4        19830.720    40  39741.440    39743.602    39955.486
 56  JTT+I+G4      19810.019    41  39702.039    39704.310    39921.436
 57  JTT+R2        19899.751    41  39881.503    39883.775    40100.900
 58  JTT+R3        19809.013    43  39704.027    39706.526    39934.127
 59  JTT+R4        19799.674    45  39689.347    39692.085    39930.150
 60  JTT+R5        19799.670    47  39693.340    39696.328    39944.844
 66  JTT+F         21294.753    58  42705.505    42710.071    43015.873
 67  JTT+F+I       20092.242    59  40302.484    40307.210    40618.202
 68  JTT+F+G4      19708.339    59  39534.677    39539.404    39850.396
 69  JTT+F+I+G4    19687.928    60  39495.856    39500.746    39816.925
 70  JTT+F+R2      19780.099    60  39680.198    39685.088    40001.268
 71  JTT+F+R3      19686.978    62  39497.956    39503.181    39829.727
 72  JTT+F+R4      19676.919    64  39481.837    39487.410    39824.311
 73  JTT+F+R5      19676.914    66  39485.828    39491.759    39839.004
 79  WAG           21416.777    39  42911.555    42913.610    43120.250
 80  WAG+I         20253.213    40  40586.426    40588.588    40800.472
 81  WAG+G4        19898.594    40  39877.188    39879.350    40091.234
 82  WAG+I+G4      19883.649    41  39849.299    39851.570    40068.696
 83  WAG+R2        19960.448    41  40002.895    40005.167    40222.293
