IQ-TREE multicore version 1.6.8 for Linux 64-bit built Oct 28 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    sango40512.oist.jp (AVX2, FMA3, 755 GB RAM)
Command: iqtree -s clade_2//aln_seqs/EOG09340JKC.aln -bb 1000 -redo -nt 3 -m MFP
Seed:    911475 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Wed Mar  6 08:43:12 2019
Kernel:  AVX+FMA - 3 threads (36 CPU cores detected)

Reading alignment file clade_2//aln_seqs/EOG09340JKC.aln ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 21 sequences with 852 columns, 315 distinct patterns
214 parsimony-informative, 85 singleton sites, 553 constant sites
                                     Gap/Ambiguity  Composition  p-value
   1  Kazachstania_africana                  0.12%    passed    100.00%
   2  Kazachstania_naganishii                0.00%    passed    100.00%
   3  Naumovozyma_castellii                  0.00%    passed    100.00%
   4  Naumovozyma_dairenensis                0.00%    passed    100.00%
   5  Tetrapisispora_blattae                 0.00%    passed     99.99%
   6  yHAB132_Kazachstania_martiniae         0.00%    passed    100.00%
   7  yHAB133_Kazachstania_unispora          0.00%    passed    100.00%
   8  yHAB134_Kazachstania_turicensis        0.00%    passed    100.00%
   9  yHAB136_Kazachstania_bromeliacearum    0.00%    passed    100.00%
  10  yHAB143_Kazachstania_siamensis         0.00%    passed    100.00%
  11  yHAB147_Kazachstania_taianensis        0.00%    passed    100.00%
  12  yHAB148_Kazachstania_intestinalis      0.00%    passed     99.97%
  13  yHAB153_Kazachstania_rosinii           0.00%    passed    100.00%
  14  yHAB154_Kazachstania_transvaalensis    0.00%    passed    100.00%
  15  yHAB155_Kazachstania_spencerorum       0.00%    passed    100.00%
  16  yHAB158_Kazachstania_viticola          0.00%    passed     99.92%
  17  yHAB159_Kazachstania_solicola          0.00%    passed    100.00%
  18  yHAB160_Kazachstania_kunashirensis     0.00%    passed    100.00%
  19  yHAB164_Kazachstania_aerobia           0.00%    passed    100.00%
  20  yHAB166_Kazachstania_yakushimaensis    0.00%    passed    100.00%
  21  yHMPu5000035629_Yueomyces_sinensis     0.00%    passed    100.00%
****  TOTAL                                  0.01%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
NOTE: ModelFinder requires 12 MB RAM!
ModelFinder will test 546 protein models (sample size: 852) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       9569.689     39  19217.377    19221.220    19402.533
  2  Dayhoff+I     8878.308     40  17836.616    17840.661    18026.520
  3  Dayhoff+G4    8726.325     40  17532.650    17536.694    17722.553
  4  Dayhoff+I+G4  8685.864     41  17453.729    17457.981    17648.380
  5  Dayhoff+R2    8766.983     41  17615.966    17620.218    17810.617
  6  Dayhoff+R3    8684.372     43  17454.744    17459.427    17658.890
  7  Dayhoff+R4    8684.205     45  17458.411    17463.547    17672.052
 14  Dayhoff+F     9527.998     58  19171.996    19180.627    19447.356
 15  Dayhoff+F+I   8832.834     59  17783.667    17792.607    18063.775
 16  Dayhoff+F+G4  8677.068     59  17472.135    17481.074    17752.243
 17  Dayhoff+F+I+G4 8634.512     60  17389.024    17398.278    17673.879
 18  Dayhoff+F+R2  8720.942     60  17561.885    17571.139    17846.740
 19  Dayhoff+F+R3  8632.968     62  17389.936    17399.838    17684.287
 20  Dayhoff+F+R4  8632.856     64  17393.712    17404.284    17697.557
 27  mtMAM         10381.839    39  20841.678    20845.521    21026.834
 28  mtMAM+I       9578.481     40  19236.963    19241.007    19426.866
 29  mtMAM+G4      9156.883     40  18393.765    18397.810    18583.669
 30  mtMAM+I+G4    9085.987     41  18253.973    18258.225    18448.624
 31  mtMAM+R2      9269.863     41  18621.725    18625.977    18816.376
 32  mtMAM+R3      9096.623     43  18279.246    18283.929    18483.392
 33  mtMAM+R4      9056.100     45  18202.200    18207.337    18415.842
 34  mtMAM+R5      9056.111     47  18206.222    18211.834    18429.359
 40  mtMAM+F       9919.004     58  19954.008    19962.638    20229.368
 41  mtMAM+F+I     9137.382     59  18392.764    18401.703    18672.871
 42  mtMAM+F+G4    8855.509     59  17829.018    17837.958    18109.126
 43  mtMAM+F+I+G4  8797.780     60  17715.561    17724.815    18000.416
 44  mtMAM+F+R2    8937.646     60  17995.292    18004.546    18280.147
 45  mtMAM+F+R3    8799.507     62  17723.015    17732.916    18017.365
 46  mtMAM+F+R4    8769.382     64  17666.765    17677.336    17970.610
 47  mtMAM+F+R5    8769.372     66  17670.744    17682.010    17984.085
 53  JTT           9557.568     39  19193.137    19196.979    19378.292
 54  JTT+I         8840.629     40  17761.258    17765.302    17951.161
 55  JTT+G4        8693.532     40  17467.063    17471.108    17656.967
 56  JTT+I+G4      8649.034     41  17380.069    17384.321    17574.720
 57  JTT+R2        8730.368     41  17542.737    17546.989    17737.388
 58  JTT+R3        8646.901     43  17379.802    17384.485    17583.948
 59  JTT+R4        8635.465     45  17360.931    17366.067    17574.572
 60  JTT+R5        8635.426     47  17364.852    17370.464    17587.988
 66  JTT+F         9538.230     58  19192.460    19201.090    19467.820
 67  JTT+F+I       8822.418     59  17762.835    17771.775    18042.943
 68  JTT+F+G4      8674.004     59  17466.007    17474.947    17746.115
 69  JTT+F+I+G4    8628.595     60  17377.190    17386.445    17662.046
 70  JTT+F+R2      8712.674     60  17545.349    17554.603    17830.204
 71  JTT+F+R3      8626.398     62  17376.796    17386.698    17671.147
 72  JTT+F+R4      8614.219     64  17356.439    17367.011    17660.284
 73  JTT+F+R5      8614.214     66  17360.428    17371.695    17673.769
 79  WAG           9507.998     39  19093.997    19097.839    19279.153
 80  WAG+I         8804.774     40  17689.549    17693.593    17879.452
 81  WAG+G4        8681.584     40  17443.168    17447.212    17633.071
 82  WAG+I+G4      8640.248     41  17362.497    17366.748    17557.148
 83  WAG+R2        8715.098     41  17512.196    17516.448    17706.847
 84  WAG+R3        8638.526     43  17363.052    17367.736    17567.199
 85  WAG+R4        8634.054     45  17358.107    17363.244    17571.749
 92  WAG+F         9505.392     58  19126.783    19135.414    19402.143
 93  WAG+F+I       8802.434     59  17722.868    17731.808    18002.976
 94  WAG+F+G4      8677.422     59  17472.844    17481.783    17752.952
 95  WAG+F+I+G4    8633.977     60  17387.953    17397.207    17672.808
 96  WAG+F+R2      8712.260     60  17544.519    17553.773    17829.374
 97  WAG+F+R3      8631.997     62  17387.995    17397.896    17682.345
 98  WAG+F+R4      8626.218     64  17380.435    17391.007    17684.281
105  cpREV         9530.939     39  19139.879    19143.721    19325.035
106  cpREV+I       8823.350     40  17726.700    17730.744    17916.603
107  cpREV+G4      8688.782     40  17457.564    17461.608    17647.467
108  cpREV+I+G4    8640.320     41  17362.641    17366.893    17557.292
109  cpREV+R2      8728.648     41  17539.296    17543.548    17733.947
110  cpREV+R3      8635.546     43  17357.091    17361.774    17561.237
111  cpREV+R4      8634.615     45  17359.229    17364.365    17572.870
118  cpREV+F       9528.743     58  19173.485    19182.116    19448.845
119  cpREV+F+I     8826.065     59  17770.131    17779.070    18050.239
120  cpREV+F+G4    8685.522     59  17489.043    17497.983    17769.151
121  cpREV+F+I+G4  8634.152     60  17388.303    17397.557    17673.158
122  cpREV+F+R2    8728.352     60  17576.704    17585.958    17861.559
123  cpREV+F+R3    8628.804     62  17381.608    17391.510    17675.959
124  cpREV+F+R4    8627.020     64  17382.041    17392.613    17685.886
131  mtREV         9992.299     39  20062.597    20066.440    20247.753
132  mtREV+I       9265.514     40  18611.029    18615.073    18800.932
133  mtREV+G4      9024.107     40  18128.213    18132.258    18318.117
134  mtREV+I+G4    8978.736     41  18039.473    18043.724    18234.124
135  mtREV+R2      9089.105     41  18260.211    18264.463    18454.862
136  mtREV+R3      8980.475     43  18046.950    18051.633    18251.096
137  mtREV+R4      8956.291     45  18002.582    18007.719    18216.224
138  mtREV+R5      8954.551     47  18003.101    18008.713    18226.238
144  mtREV+F       9611.331     58  19338.663    19347.293    19614.023
145  mtREV+F+I     8902.114     59  17922.227    17931.167    18202.335
146  mtREV+F+G4    8722.525     59  17563.051    17571.990    17843.159
147  mtREV+F+I+G4  8678.692     60  17477.384    17486.638    17762.239
148  mtREV+F+R2    8771.200     60  17662.401    17671.655    17947.256
149  mtREV+F+R3    8676.847     62  17477.694    17487.596    17772.045
150  mtREV+F+R4    8662.469     64  17452.938    17463.509    17756.783
151  mtREV+F+R5    8661.167     66  17454.333    17465.599    17767.674
157  rtREV         9568.214     39  19214.428    19218.270    19399.584
158  rtREV+I       8860.329     40  17800.657    17804.702    17990.561
159  rtREV+G4      8714.620     40  17509.240    17513.284    17699.143
160  rtREV+I+G4    8671.483     41  17424.965    17429.217    17619.616
161  rtREV+R2      8751.918     41  17585.837    17590.089    17780.488
162  rtREV+R3      8670.121     43  17426.242    17430.925    17630.388
163  rtREV+R4      8661.406     45  17412.812    17417.949    17626.454
164  rtREV+R5      8660.604     47  17415.207    17420.819    17638.344
170  rtREV+F       9506.573     58  19129.145    19137.776    19404.505
171  rtREV+F+I     8804.269     59  17726.538    17735.477    18006.645
172  rtREV+F+G4    8655.873     59  17429.746    17438.685    17709.854
173  rtREV+F+I+G4  8611.926     60  17343.852    17353.106    17628.707
174  rtREV+F+R2    8694.636     60  17509.271    17518.526    17794.127
175  rtREV+F+R3    8610.050     62  17344.101    17354.002    17638.451
176  rtREV+F+R4    8601.076     64  17330.151    17340.723    17633.997
177  rtREV+F+R5    8600.241     66  17332.482    17343.748    17645.822
183  mtART         10230.792    39  20539.585    20543.427    20724.741
184  mtART+I       9411.591     40  18903.182    18907.227    19093.086
185  mtART+G4      9050.621     40  18181.242    18185.286    18371.145
186  mtART+I+G4    8994.361     41  18070.721    18074.973    18265.372
187  mtART+R2      9147.331     41  18376.661    18380.913    18571.312
188  mtART+R3      9003.801     43  18093.603    18098.286    18297.749
189  mtART+R4      8981.959     45  18053.917    18059.054    18267.559
190  mtART+R5      8979.850     47  18053.699    18059.311    18276.836
196  mtART+F       9752.633     58  19621.266    19629.897    19896.626
