IQ-TREE multicore version 1.6.8 for Linux 64-bit built Oct 28 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    sango40512.oist.jp (AVX2, FMA3, 755 GB RAM)
Command: iqtree -s clade_2//aln_seqs/EOG093404WV.aln -bb 1000 -redo -nt 3 -m MFP
Seed:    120660 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Wed Mar  6 08:43:41 2019
Kernel:  AVX+FMA - 3 threads (36 CPU cores detected)

Reading alignment file clade_2//aln_seqs/EOG093404WV.aln ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 21 sequences with 931 columns, 503 distinct patterns
197 parsimony-informative, 474 singleton sites, 260 constant sites
                                     Gap/Ambiguity  Composition  p-value
   1  Kazachstania_africana                  0.00%    passed    100.00%
   2  Kazachstania_naganishii                0.00%    passed    100.00%
   3  Naumovozyma_castellii                  0.00%    passed    100.00%
   4  Naumovozyma_dairenensis                0.00%    passed    100.00%
   5  Tetrapisispora_blattae                 0.00%    passed    100.00%
   6  yHAB132_Kazachstania_martiniae         0.00%    passed     45.34%
   7  yHAB133_Kazachstania_unispora          0.00%    passed    100.00%
   8  yHAB134_Kazachstania_turicensis        0.00%    passed    100.00%
   9  yHAB136_Kazachstania_bromeliacearum    0.00%    passed    100.00%
  10  yHAB143_Kazachstania_siamensis         0.00%    passed    100.00%
  11  yHAB147_Kazachstania_taianensis        0.00%    passed    100.00%
  12  yHAB148_Kazachstania_intestinalis      0.00%    passed    100.00%
  13  yHAB153_Kazachstania_rosinii           0.00%    passed    100.00%
  14  yHAB154_Kazachstania_transvaalensis    0.00%    passed    100.00%
  15  yHAB155_Kazachstania_spencerorum       0.00%    passed    100.00%
  16  yHAB158_Kazachstania_viticola          0.00%    passed    100.00%
  17  yHAB159_Kazachstania_solicola          0.00%    passed    100.00%
  18  yHAB160_Kazachstania_kunashirensis     0.00%    passed    100.00%
  19  yHAB164_Kazachstania_aerobia           0.00%    passed    100.00%
  20  yHAB166_Kazachstania_yakushimaensis    0.00%    passed    100.00%
  21  yHMPu5000035629_Yueomyces_sinensis     0.00%    passed    100.00%
****  TOTAL                                  0.00%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.258 seconds
NOTE: ModelFinder requires 19 MB RAM!
ModelFinder will test 546 protein models (sample size: 931) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       10217.895    39  20513.791    20517.292    20702.405
  2  Dayhoff+I     10061.746    40  20203.491    20207.177    20396.942
  3  Dayhoff+G4    9740.280     40  19560.560    19564.245    19754.010
  4  Dayhoff+I+G4  9740.032     41  19562.063    19565.937    19760.350
  5  Dayhoff+R2    9734.896     41  19551.792    19555.666    19750.079
  6  Dayhoff+R3    9713.907     43  19513.813    19518.079    19721.773
  7  Dayhoff+R4    9697.121     45  19484.242    19488.920    19701.874
  8  Dayhoff+R5    9697.043     47  19488.085    19493.195    19715.389
 14  Dayhoff+F     10115.927    58  20347.853    20355.702    20628.356
 15  Dayhoff+F+I   9958.673     59  20035.347    20043.475    20320.686
 16  Dayhoff+F+G4  9636.165     59  19390.330    19398.459    19675.670
 17  Dayhoff+F+I+G4 9636.684     60  19393.368    19401.782    19683.544
 18  Dayhoff+F+R2  9631.351     60  19382.701    19391.115    19672.877
 19  Dayhoff+F+R3  9610.248     62  19344.497    19353.497    19644.345
 20  Dayhoff+F+R4  9592.893     64  19313.786    19323.394    19623.307
 21  Dayhoff+F+R5  9592.842     66  19317.685    19327.921    19636.878
 27  mtMAM         10905.097    39  21888.194    21891.696    22076.808
 28  mtMAM+I       10684.903    40  21449.806    21453.491    21643.256
 29  mtMAM+G4      10245.342    40  20570.683    20574.369    20764.134
 30  mtMAM+I+G4    10244.727    41  20571.454    20575.328    20769.741
 31  mtMAM+R2      10284.244    41  20650.488    20654.362    20848.775
 32  mtMAM+R3      10237.743    43  20561.486    20565.752    20769.445
 33  mtMAM+R4      10199.951    45  20489.902    20494.580    20707.534
 34  mtMAM+R5      10199.934    47  20493.868    20498.978    20721.173
 40  mtMAM+F       10462.510    58  21041.020    21048.869    21321.523
 41  mtMAM+F+I     10251.358    59  20620.715    20628.844    20906.055
 42  mtMAM+F+G4    9835.829     59  19789.657    19797.786    20074.997
 43  mtMAM+F+I+G4  9835.453     60  19790.907    19799.321    20081.082
 44  mtMAM+F+R2    9864.530     60  19849.060    19857.474    20139.236
 45  mtMAM+F+R3    9826.268     62  19776.537    19785.537    20076.385
 46  mtMAM+F+R4    9793.210     64  19714.421    19724.028    20023.941
 47  mtMAM+F+R5    9793.198     66  19718.395    19728.631    20037.588
 53  JTT           10140.988    39  20359.976    20363.477    20548.590
 54  JTT+I         9994.169     40  20068.338    20072.023    20261.788
 55  JTT+G4        9687.942     40  19455.884    19459.569    19649.334
 56  JTT+I+G4      9688.233     41  19458.467    19462.341    19656.754
 57  JTT+R2        9671.452     41  19424.904    19428.778    19623.190
 58  JTT+R3        9650.635     43  19387.270    19391.536    19595.229
 59  JTT+R4        9634.260     45  19358.520    19363.198    19576.152
 60  JTT+R5        9634.243     47  19362.485    19367.595    19589.790
 66  JTT+F         10101.892    58  20319.783    20327.632    20600.287
 67  JTT+F+I       9952.133     59  20022.267    20030.395    20307.606
 68  JTT+F+G4      9644.728     59  19407.456    19415.584    19692.795
 69  JTT+F+I+G4    9644.941     60  19409.882    19418.296    19700.058
 70  JTT+F+R2      9631.372     60  19382.745    19391.159    19672.920
 71  JTT+F+R3      9610.035     62  19344.071    19353.071    19643.919
 72  JTT+F+R4      9593.024     64  19314.049    19323.656    19623.569
 73  JTT+F+R5      9593.006     66  19318.013    19328.249    19637.206
 79  WAG           10088.303    39  20254.607    20258.108    20443.221
 80  WAG+I         9963.142     40  20006.283    20009.969    20199.734
 81  WAG+G4        9659.649     40  19399.298    19402.983    19592.748
 82  WAG+I+G4      9660.005     41  19402.010    19405.884    19600.296
 83  WAG+R2        9620.009     41  19322.018    19325.892    19520.304
 84  WAG+R3        9602.578     43  19291.156    19295.422    19499.115
 85  WAG+R4        9590.001     45  19270.002    19274.680    19487.634
 86  WAG+R5        9589.928     47  19273.856    19278.966    19501.160
 92  WAG+F         10052.699    58  20221.398    20229.247    20501.901
 93  WAG+F+I       9923.818     59  19965.636    19973.765    20250.976
 94  WAG+F+G4      9618.112     59  19354.223    19362.352    19639.563
 95  WAG+F+I+G4    9618.377     60  19356.753    19365.167    19646.929
 96  WAG+F+R2      9582.962     60  19285.925    19294.339    19576.100
 97  WAG+F+R3      9546.975     62  19217.950    19226.950    19517.798
 98  WAG+F+R4      9546.960     64  19221.921    19231.528    19531.441
105  cpREV         10100.667    39  20279.334    20282.836    20467.949
106  cpREV+I       9981.451     40  20042.901    20046.586    20236.351
107  cpREV+G4      9661.278     40  19402.557    19406.242    19596.007
108  cpREV+I+G4    9661.613     41  19405.227    19409.101    19603.513
109  cpREV+R2      9623.703     41  19329.405    19333.279    19527.692
110  cpREV+R3      9588.714     43  19263.427    19267.693    19471.386
111  cpREV+R4      9588.712     45  19267.423    19272.101    19485.055
118  cpREV+F       10062.733    58  20241.466    20249.314    20521.969
119  cpREV+F+I     9934.046     59  19986.092    19994.221    20271.432
120  cpREV+F+G4    9610.426     59  19338.853    19346.982    19624.192
121  cpREV+F+I+G4  9610.610     60  19341.220    19349.634    19631.396
122  cpREV+F+R2    9581.585     60  19283.170    19291.584    19573.345
123  cpREV+F+R3    9544.355     62  19212.709    19221.709    19512.557
124  cpREV+F+R4    9544.345     64  19216.690    19226.298    19526.211
131  mtREV         10615.917    39  21309.834    21313.335    21498.448
132  mtREV+I       10451.031    40  20982.062    20985.748    21175.513
133  mtREV+G4      10089.020    40  20258.040    20261.725    20451.490
134  mtREV+I+G4    10088.942    41  20259.885    20263.759    20458.171
135  mtREV+R2      10078.633    41  20239.265    20243.139    20437.552
136  mtREV+R3      10030.867    43  20147.734    20152.000    20355.693
137  mtREV+R4      10030.840    45  20151.680    20156.358    20369.312
144  mtREV+F       10214.828    58  20545.656    20553.504    20826.159
145  mtREV+F+I     10046.532    59  20211.064    20219.193    20496.404
146  mtREV+F+G4    9698.288     59  19514.576    19522.704    19799.915
147  mtREV+F+I+G4  9698.286     60  19516.572    19524.986    19806.747
148  mtREV+F+R2    9690.546     60  19501.091    19509.505    19791.267
149  mtREV+F+R3    9647.426     62  19418.852    19427.852    19718.700
150  mtREV+F+R4    9647.385     64  19422.771    19432.378    19732.292
157  rtREV         10158.619    39  20395.239    20398.740    20583.853
158  rtREV+I       10030.600    40  20141.200    20144.885    20334.650
159  rtREV+G4      9718.682     40  19517.365    19521.050    19710.815
160  rtREV+I+G4    9718.813     41  19519.625    19523.499    19717.912
161  rtREV+R2      9671.937     41  19425.875    19429.749    19624.161
162  rtREV+R3      9644.891     43  19375.782    19380.048    19583.742
163  rtREV+R4      9644.877     45  19379.754    19384.432    19597.386
170  rtREV+F       10048.156    58  20212.312    20220.160    20492.815
171  rtREV+F+I     9917.612     59  19953.225    19961.353    20238.564
172  rtREV+F+G4    9601.385     59  19320.769    19328.898    19606.108
173  rtREV+F+I+G4  9601.458     60  19322.916    19331.329    19613.091
174  rtREV+F+R2    9554.638     60  19229.276    19237.690    19519.451
175  rtREV+F+R3    9528.934     62  19181.867    19190.867    19481.716
176  rtREV+F+R4    9528.934     64  19185.867    19195.475    19495.388
183  mtART         10715.649    39  21509.298    21512.800    21697.912
184  mtART+I       10532.270    40  21144.541    21148.226    21337.991
185  mtART+G4      10088.374    40  20256.748    20260.433    20450.198
186  mtART+I+G4    10088.389    41  20258.777    20262.651    20457.064
187  mtART+R2      10079.764    41  20241.528    20245.402    20439.814
188  mtART+R3      10010.896    43  20107.791    20112.057    20315.750
189  mtART+R4      10010.893    45  20111.786    20116.464    20329.417
196  mtART+F       10276.177    58  20668.355    20676.204    20948.858
197  mtART+F+I     10100.783    59  20319.566    20327.695    20604.906
198  mtART+F+G4    9699.089     59  19516.177    19524.306    19801.516
199  mtART+F+I+G4  9698.932     60  19517.864    19526.278    19808.040
200  mtART+F+R2    9693.370     60  19506.739    19515.153    19796.915
201  mtART+F+R3    9639.661     62  19403.322    19412.322    19703.170
202  mtART+F+R4    9639.651     64  19407.302    19416.909    19716.823
209  mtZOA         10498.630    39  21075.260    21078.761    21263.874
210  mtZOA+I       10331.923    40  20743.847    20747.532    20937.297
211  mtZOA+G4      9949.483     40  19978.966    19982.652    20172.417
212  mtZOA+I+G4    9949.516     41  19981.031    19984.905    20179.318
213  mtZOA+R2      9943.848     41  19969.697    19973.571    20167.983
214  mtZOA+R3      9882.821     43  19851.642    19855.908    20059.601
215  mtZOA+R4      9882.820     45  19855.640    19860.318    20073.272
222  mtZOA+F       10125.414    58  20366.827    20374.676    20647.330
223  mtZOA+F+I     9960.609     59  20039.219    20047.348    20324.558
224  mtZOA+F+G4    9609.084     59  19336.168    19344.297    19621.507
225  mtZOA+F+I+G4  9609.024     60  19338.048    19346.462    19628.224
226  mtZOA+F+R2    9602.932     60  19325.864    19334.278    19616.039
227  mtZOA+F+R3    9556.995     62  19237.990    19246.990    19537.838
228  mtZOA+F+R4    9556.980     64  19241.959    19251.567    19551.480
235  VT            10112.021    39  20302.042    20305.544    20490.656
236  VT+I          9995.039     40  20070.079    20073.764    20263.529
237  VT+G4         9697.281     40  19474.563    19478.248    19668.013
238  VT+I+G4       9697.251     41  19476.502    19480.376    19674.789
239  VT+R2         9632.761     41  19347.523    19351.397    19545.809
240  VT+R3         9616.665     43  19319.330    19323.596    19527.289
241  VT+R4         9616.638     45  19323.275    19327.953    19540.907
248  VT+F          10086.266    58  20288.533    20296.381    20569.036
249  VT+F+I        9967.817     59  20053.634    20061.763    20338.974
250  VT+F+G4       9669.642     59  19457.283    19465.412    19742.622
251  VT+F+I+G4     9669.631     60  19459.263    19467.677    19749.438
252  VT+F+R2       9607.433     60  19334.867    19343.280    19625.042
253  VT+F+R3       9590.304     62  19304.607    19313.607    19604.455
254  VT+F+R4       9590.302     64  19308.603    19318.211    19618.124
261  LG            10036.196    39  20150.391    20153.893    20339.005
262  LG+I          9899.032     40  19878.064    19881.749    20071.514
263  LG+G4         9581.718     40  19243.437    19247.122    19436.887
264  LG+I+G4       9581.670     41  19245.340    19249.214    19443.626
265  LG+R2         9540.061     41  19162.123    19165.997    19360.409
266  LG+R3         9511.657     43  19109.315    19113.581    19317.274
267  LG+R4         9511.655     45  19113.310    19117.988    19330.942
274  LG+F          10006.870    58  20129.739    20137.588    20410.242
275  LG+F+I        9868.284     59  19854.567    19862.696    20139.906
276  LG+F+G4       9553.514     59  19225.027    19233.156    19510.367
277  LG+F+I+G4     9553.496     60  19226.993    19235.407    19517.168
278  LG+F+R2       9513.894     60  19147.787    19156.201    19437.963
279  LG+F+R3       9484.919     62  19093.839    19102.839    19393.687
280  LG+F+R4       9484.918     64  19097.836    19107.443    19407.356
287  DCMut         10218.788    39  20515.576    20519.078    20704.190
288  DCMut+I       10062.929    40  20205.859    20209.544    20399.309
289  DCMut+G4      9741.789     40  19563.579    19567.264    19757.029
290  DCMut+I+G4    9741.677     41  19565.355    19569.229    19763.641
291  DCMut+R2      9721.183     41  19524.367    19528.241    19722.653
292  DCMut+R3      9691.012     43  19468.025    19472.291    19675.984
293  DCMut+R4      9690.996     45  19471.993    19476.671    19689.624
300  DCMut+F       10116.664    58  20349.328    20357.176    20629.831
301  DCMut+F+I     9959.619     59  20037.238    20045.367    20322.577
302  DCMut+F+G4    9637.251     59  19392.501    19400.630    19677.841
303  DCMut+F+I+G4  9637.195     60  19394.391    19402.805    19684.566
304  DCMut+F+R2    9616.713     60  19353.425    19361.839    19643.601
305  DCMut+F+R3    9585.909     62  19295.818    19304.818    19595.666
306  DCMut+F+R4    9585.908     64  19299.817    19309.424    19609.337
313  PMB           10183.515    39  20445.030    20448.532    20633.645
314  PMB+I         10079.893    40  20239.787    20243.472    20433.237
315  PMB+G4        9777.138     40  19634.277    19637.962    19827.727
316  PMB+I+G4      9777.050     41  19636.101    19639.975    19834.387
317  PMB+R2        9698.660     41  19479.319    19483.193    19677.606
318  PMB+R3        9683.612     43  19453.224    19457.490    19661.183
319  PMB+R4        9683.606     45  19457.212    19461.890    19674.844
326  PMB+F         10127.770    58  20371.539    20379.388    20652.042
327  PMB+F+I       10018.120    59  20154.239    20162.368    20439.578
328  PMB+F+G4      9713.374     59  19544.748    19552.876    19830.087
329  PMB+F+I+G4    9713.290     60  19546.581    19554.995    19836.757
330  PMB+F+R2      9641.513     60  19403.026    19411.440    19693.201
331  PMB+F+R3      9624.681     62  19373.363    19382.363    19673.211
332  PMB+F+R4      9624.677     64  19377.353    19386.960    19686.874
339  HIVb          10467.581    39  21013.163    21016.665    21201.777
340  HIVb+I        10282.953    40  20645.906    20649.592    20839.357
341  HIVb+G4       9916.277     40  19912.553    19916.239    20106.004
342  HIVb+I+G4     9916.122     41  19914.244    19918.118    20112.530
343  HIVb+R2       9902.435     41  19886.870    19890.744    20085.157
344  HIVb+R3       9854.998     43  19795.997    19800.263    20003.956
345  HIVb+R4       9854.953     45  19799.905    19804.583    20017.537
352  HIVb+F        10386.992    58  20889.985    20897.833    21170.488
353  HIVb+F+I      10197.746    59  20513.493    20521.621    20798.832
354  HIVb+F+G4     9830.745     59  19779.489    19787.618    20064.828
355  HIVb+F+I+G4   9830.574     60  19781.149    19789.562    20071.324
356  HIVb+F+R2     9819.839     60  19759.678    19768.092    20049.853
357  HIVb+F+R3     9768.721     62  19661.442    19670.442    19961.290
358  HIVb+F+R4     9768.717     64  19665.434    19675.042    19974.955
365  HIVw          10804.117    39  21686.234    21689.735    21874.848
366  HIVw+I        10580.590    40  21241.180    21244.865    21434.630
367  HIVw+G4       10176.618    40  20433.236    20436.921    20626.686
368  HIVw+I+G4     10176.483    41  20434.966    20438.840    20633.253
369  HIVw+R2       10187.704    41  20457.407    20461.281    20655.694
370  HIVw+R3       10111.007    43  20308.014    20312.280    20515.973
371  HIVw+R4       10110.993    45  20311.987    20316.665    20529.619
378  HIVw+F        10653.138    58  21422.275    21430.124    21702.778
379  HIVw+F+I      10423.229    59  20964.458    20972.587    21249.797
380  HIVw+F+G4     10027.752    59  20173.504    20181.632    20458.843
381  HIVw+F+I+G4   10027.747    60  20175.493    20183.907    20465.669
382  HIVw+F+R2     10040.426    60  20200.852    20209.266    20491.028
383  HIVw+F+R3     9955.084     62  20034.167    20043.167    20334.015
384  HIVw+F+R4     9955.029     64  20038.057    20047.665    20347.578
391  JTTDCMut      10136.260    39  20350.520    20354.021    20539.134
392  JTTDCMut+I    9991.230     40  20062.461    20066.146    20255.911
393  JTTDCMut+G4   9684.947     40  19449.895    19453.580    19643.345
394  JTTDCMut+I+G4 9684.858     41  19451.716    19455.590    19650.003
395  JTTDCMut+R2   9652.394     41  19386.789    19390.663    19585.076
396  JTTDCMut+R3   9620.159     43  19326.317    19330.583    19534.276
397  JTTDCMut+R4   9620.104     45  19330.208    19334.886    19547.839
404  JTTDCMut+F    10096.905    58  20309.810    20317.659    20590.313
405  JTTDCMut+F+I  9948.558     59  20015.115    20023.244    20300.455
406  JTTDCMut+F+G4 9640.908     59  19399.815    19407.944    19685.155
407  JTTDCMut+F+I+G4 9640.836     60  19401.671    19410.085    19691.847
408  JTTDCMut+F+R2 9611.715     60  19343.430    19351.844    19633.606
409  JTTDCMut+F+R3 9576.749     62  19277.499    19286.499    19577.347
410  JTTDCMut+F+R4 9576.707     64  19281.415    19291.022    19590.935
417  FLU           10335.539    39  20749.078    20752.580    20937.692
418  FLU+I         10169.379    40  20418.758    20422.443    20612.208
419  FLU+G4        9798.812     40  19677.624    19681.310    19871.075
420  FLU+I+G4      9798.792     41  19679.583    19683.457    19877.870
421  FLU+R2        9779.873     41  19641.745    19645.619    19840.032
422  FLU+R3        9723.148     43  19532.296    19536.562    19740.255
423  FLU+R4        9723.064     45  19536.127    19540.805    19753.759
430  FLU+F         10312.824    58  20741.647    20749.496    21022.150
431  FLU+F+I       10142.324    59  20402.648    20410.777    20687.987
432  FLU+F+G4      9762.930     59  19643.859    19651.988    19929.199
433  FLU+F+I+G4    9762.934     60  19645.868    19654.282    19936.044
434  FLU+F+R2      9745.629     60  19611.258    19619.672    19901.434
435  FLU+F+R3      9683.660     62  19491.320    19500.320    19791.168
436  FLU+F+R4      9683.652     64  19495.305    19504.912    19804.825
443  Blosum62      10163.530    39  20405.061    20408.562    20593.675
444  Blosum62+I    10056.212    40  20192.424    20196.110    20385.875
445  Blosum62+G4   9751.056     40  19582.112    19585.797    19775.562
446  Blosum62+I+G4 9750.947     41  19583.894    19587.768    19782.181
447  Blosum62+R2   9676.439     41  19434.878    19438.752    19633.165
448  Blosum62+R3   9658.501     43  19403.001    19407.267    19610.961
449  Blosum62+R4   9658.428     45  19406.855    19411.533    19624.487
456  Blosum62+F    10123.116    58  20362.232    20370.080    20642.735
457  Blosum62+F+I  10010.650    59  20139.300    20147.428    20424.639
458  Blosum62+F+G4 9705.423     59  19528.846    19536.974    19814.185
459  Blosum62+F+I+G4 9705.360     60  19530.719    19539.133    19820.895
460  Blosum62+F+R2 9635.738     60  19391.475    19399.889    19681.651
461  Blosum62+F+R3 9617.337     62  19358.674    19367.674    19658.522
462  Blosum62+F+R4 9617.288     64  19362.576    19372.183    19672.097
469  mtMet         10578.219    39  21234.438    21237.940    21423.053
470  mtMet+I       10415.076    40  20910.152    20913.837    21103.602
471  mtMet+G4      10070.613    40  20221.226    20224.912    20414.677
472  mtMet+I+G4    10070.418    41  20222.836    20226.710    20421.123
473  mtMet+R2      10058.219    41  20198.438    20202.312    20396.725
474  mtMet+R3      9998.391     43  20082.781    20087.047    20290.740
475  mtMet+R4      9998.367     45  20086.733    20091.411    20304.365
482  mtMet+F       10187.720    58  20491.440    20499.288    20771.943
483  mtMet+F+I     10018.714    59  20155.428    20163.556    20440.767
484  mtMet+F+G4    9687.747     59  19493.493    19501.622    19778.832
485  mtMet+F+I+G4  9687.640     60  19495.280    19503.693    19785.455
486  mtMet+F+R2    9682.166     60  19484.332    19492.746    19774.507
487  mtMet+F+R3    9631.135     62  19386.271    19395.271    19686.119
488  mtMet+F+R4    9631.111     64  19390.223    19399.830    19699.743
495  mtVer         10705.475    39  21488.950    21492.452    21677.564
496  mtVer+I       10519.101    40  21118.202    21121.888    21311.653
497  mtVer+G4      10168.680    40  20417.359    20421.045    20610.810
498  mtVer+I+G4    10168.502    41  20419.005    20422.879    20617.291
499  mtVer+R2      10174.868    41  20431.736    20435.610    20630.023
500  mtVer+R3      10106.606    43  20299.212    20303.478    20507.171
