IQ-TREE multicore version 1.6.8 for Linux 64-bit built Oct 28 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    sango11814.oist.jp (AVX2, FMA3, 125 GB RAM)
Command: iqtree -s clade_1//aln_seqs/EOG09343LZK.aln -bb 1000 -redo -nt 3 -m MFP
Seed:    79481 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Mar  7 05:24:46 2019
Kernel:  AVX+FMA - 3 threads (24 CPU cores detected)

Reading alignment file clade_1//aln_seqs/EOG09343LZK.aln ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 15 sequences with 235 columns, 146 distinct patterns
64 parsimony-informative, 76 singleton sites, 95 constant sites
                                    Gap/Ambiguity  Composition  p-value
   1  Candida_glabrata                      0.00%    passed     99.99%
   2  Nakaseomyces_bacillisporus            0.00%    passed    100.00%
   3  Nakaseomyces_bracarensis              0.00%    passed     99.89%
   4  Nakaseomyces_castellii                0.00%    passed     93.58%
   5  Nakaseomyces_delphensis               0.00%    passed     99.98%
   6  Nakaseomyces_nivariensis              0.00%    passed    100.00%
   7  Saccharomyces_arboricola              0.00%    passed    100.00%
   8  Saccharomyces_cerevisiae              0.00%    passed    100.00%
   9  Saccharomyces_eubayanus               0.00%    passed    100.00%
  10  Saccharomyces_kudriavzevii            0.00%    passed    100.00%
  11  Saccharomyces_mikatae                 0.00%    passed    100.00%
  12  Saccharomyces_paradoxus               0.00%    passed    100.00%
  13  Saccharomyces_uvarum                  0.00%    passed    100.00%
  14  Tetrapisispora_blattae                0.00%    passed     67.92%
  15  yHMPu5000035629_Yueomyces_sinensis    1.28%    failed      0.08%
****  TOTAL                                 0.09%  1 sequences failed composition chi2 test (p-value<5%; df=19)
NOTE: Saccharomyces_uvarum is identical to Saccharomyces_eubayanus but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 4 MB RAM!
ModelFinder will test 546 protein models (sample size: 235) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       1997.648     27  4049.295     4056.599     4142.704
  2  Dayhoff+I     1976.825     28  4009.650     4017.533     4106.518
  3  Dayhoff+G4    1966.380     28  3988.761     3996.644     4085.629
  4  Dayhoff+I+G4  1967.317     29  3992.634     4001.122     4092.962
  5  Dayhoff+R2    1965.248     29  3988.497     3996.985     4088.825
  6  Dayhoff+R3    1964.971     31  3991.943     4001.716     4099.190
 14  Dayhoff+F     1951.719     46  3995.439     4018.439     4154.580
 15  Dayhoff+F+I   1932.608     47  3959.217     3983.345     4121.817
 16  Dayhoff+F+G4  1921.489     47  3936.977     3961.105     4099.578
 17  Dayhoff+F+I+G4 1922.381     48  3940.761     3966.051     4106.821
 18  Dayhoff+F+R2  1919.858     48  3935.716     3961.007     4101.776
 19  Dayhoff+F+R3  1919.685     50  3939.371     3967.088     4112.350
 27  mtMAM         2049.457     27  4152.914     4160.218     4246.323
 28  mtMAM+I       2029.085     28  4114.169     4122.053     4211.038
 29  mtMAM+G4      2003.650     28  4063.300     4071.183     4160.168
 30  mtMAM+I+G4    2004.597     29  4067.194     4075.682     4167.522
 31  mtMAM+R2      2001.934     29  4061.869     4070.357     4162.197
 32  mtMAM+R3      2001.730     31  4065.460     4075.233     4172.707
 40  mtMAM+F       1979.449     46  4050.899     4073.899     4210.040
 41  mtMAM+F+I     1957.977     47  4009.954     4034.082     4172.554
 42  mtMAM+F+G4    1937.556     47  3969.113     3993.241     4131.713
 43  mtMAM+F+I+G4  1938.245     48  3972.491     3997.781     4138.551
 44  mtMAM+F+R2    1935.947     48  3967.894     3993.185     4133.954
 45  mtMAM+F+R3    1935.591     50  3971.182     3998.899     4144.161
 53  JTT           1964.431     27  3982.862     3990.167     4076.271
 54  JTT+I         1949.140     28  3954.281     3962.164     4051.149
 55  JTT+G4        1939.680     28  3935.361     3943.244     4032.229
 56  JTT+I+G4      1940.093     29  3938.186     3946.674     4038.514
 57  JTT+R2        1937.932     29  3933.865     3942.353     4034.193
 58  JTT+R3        1937.864     31  3937.729     3947.502     4044.976
 66  JTT+F         1942.076     46  3976.152     3999.152     4135.292
 67  JTT+F+I       1926.973     47  3947.945     3972.074     4110.546
 68  JTT+F+G4      1916.728     47  3927.457     3951.585     4090.057
 69  JTT+F+I+G4    1917.156     48  3930.313     3955.603     4096.373
 70  JTT+F+R2      1914.740     48  3925.480     3950.771     4091.540
 71  JTT+F+R3      1914.711     50  3929.422     3957.139     4102.401
 79  WAG           1971.583     27  3997.166     4004.471     4090.575
 80  WAG+I         1957.229     28  3970.458     3978.341     4067.326
 81  WAG+G4        1948.549     28  3953.098     3960.981     4049.966
 82  WAG+I+G4      1948.941     29  3955.883     3964.371     4056.211
 83  WAG+R2        1946.851     29  3951.702     3960.190     4052.030
 84  WAG+R3        1946.841     31  3955.681     3965.455     4062.928
 92  WAG+F         1941.488     46  3974.976     3997.976     4134.116
 93  WAG+F+I       1928.010     47  3950.020     3974.148     4112.620
 94  WAG+F+G4      1918.508     47  3931.017     3955.145     4093.617
 95  WAG+F+I+G4    1918.934     48  3933.867     3959.158     4099.927
 96  WAG+F+R2      1916.455     48  3928.911     3954.201     4094.971
 97  WAG+F+R3      1916.443     50  3932.885     3960.603     4105.865
105  cpREV         1950.312     27  3954.623     3961.927     4048.032
106  cpREV+I       1937.342     28  3930.685     3938.568     4027.553
107  cpREV+G4      1929.937     28  3915.874     3923.757     4012.742
108  cpREV+I+G4    1930.240     29  3918.479     3926.967     4018.807
