IQ-TREE multicore version 1.6.8 for Linux 64-bit built Oct 28 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    sango11814.oist.jp (AVX2, FMA3, 125 GB RAM)
Command: iqtree -s clade_1//aln_seqs/EOG09340BG2.aln -bb 1000 -redo -nt 3 -m MFP
Seed:    839409 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Mar  7 05:26:05 2019
Kernel:  AVX+FMA - 3 threads (24 CPU cores detected)

Reading alignment file clade_1//aln_seqs/EOG09340BG2.aln ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 15 sequences with 906 columns, 503 distinct patterns
338 parsimony-informative, 165 singleton sites, 403 constant sites
                                    Gap/Ambiguity  Composition  p-value
   1  Candida_glabrata                      0.33%    passed     99.96%
   2  Nakaseomyces_bacillisporus            0.88%    passed    100.00%
   3  Nakaseomyces_bracarensis              0.33%    passed     99.99%
   4  Nakaseomyces_castellii                0.77%    passed     99.84%
   5  Nakaseomyces_delphensis               0.33%    passed     99.99%
   6  Nakaseomyces_nivariensis              0.33%    passed     99.84%
   7  Saccharomyces_arboricola              0.44%    passed     99.99%
   8  Saccharomyces_cerevisiae              0.66%    passed    100.00%
   9  Saccharomyces_eubayanus               0.55%    passed    100.00%
  10  Saccharomyces_kudriavzevii            0.66%    passed    100.00%
  11  Saccharomyces_mikatae                 0.66%    passed    100.00%
  12  Saccharomyces_paradoxus               0.77%    passed    100.00%
  13  Saccharomyces_uvarum                  0.44%    passed    100.00%
  14  Tetrapisispora_blattae                0.88%    passed     80.83%
  15  yHMPu5000035629_Yueomyces_sinensis    2.43%    passed      7.31%
****  TOTAL                                 0.70%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
NOTE: ModelFinder requires 14 MB RAM!
ModelFinder will test 546 protein models (sample size: 906) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       10545.597    27  21145.195    21146.917    21275.039
  2  Dayhoff+I     10184.108    28  20424.216    20426.068    20558.869
  3  Dayhoff+G4    10065.003    28  20186.006    20187.858    20320.659
  4  Dayhoff+I+G4  10059.597    29  20177.193    20179.179    20316.655
  5  Dayhoff+R2    10090.999    29  20239.998    20241.984    20379.460
  6  Dayhoff+R3    10054.933    31  20171.866    20174.136    20320.946
  7  Dayhoff+R4    10054.343    33  20174.686    20177.259    20333.384
 14  Dayhoff+F     10491.052    46  21074.104    21079.138    21295.320
 15  Dayhoff+F+I   10128.682    47  20351.363    20356.622    20577.388
 16  Dayhoff+F+G4  10003.594    47  20101.187    20106.446    20327.212
 17  Dayhoff+F+I+G4 9998.124     48  20092.248    20097.737    20323.082
 18  Dayhoff+F+R2  10031.613    48  20159.225    20164.714    20390.059
 19  Dayhoff+F+R3  9991.965     50  20083.929    20089.894    20324.381
 20  Dayhoff+F+R4  9991.846     52  20087.692    20094.154    20337.762
 27  mtMAM         11377.853    27  22809.706    22811.428    22939.550
 28  mtMAM+I       10922.906    28  21901.813    21903.665    22036.466
 29  mtMAM+G4      10481.279    28  21018.557    21020.409    21153.210
 30  mtMAM+I+G4    10480.854    29  21019.709    21021.695    21159.171
 31  mtMAM+R2      10553.163    29  21164.325    21166.311    21303.787
 32  mtMAM+R3      10468.558    31  20999.115    21001.385    21148.195
 33  mtMAM+R4      10462.720    33  20991.440    20994.013    21150.138
 40  mtMAM+F       10875.380    46  21842.760    21847.794    22063.976
 41  mtMAM+F+I     10417.458    47  20928.916    20934.174    21154.941
 42  mtMAM+F+G4    10110.178    47  20314.356    20319.615    20540.381
 43  mtMAM+F+I+G4  10107.392    48  20310.784    20316.273    20541.618
 44  mtMAM+F+R2    10179.489    48  20454.977    20460.466    20685.811
 45  mtMAM+F+R3    10095.810    50  20291.620    20297.585    20532.072
 46  mtMAM+F+R4    10091.809    52  20287.619    20294.081    20537.689
 53  JTT           10483.394    27  21020.788    21022.510    21150.632
 54  JTT+I         10126.903    28  20309.806    20311.658    20444.459
 55  JTT+G4        10001.291    28  20058.582    20060.433    20193.235
 56  JTT+I+G4      9996.378     29  20050.755    20052.742    20190.218
 57  JTT+R2        10026.435    29  20110.869    20112.855    20250.331
 58  JTT+R3        9987.294     31  20036.588    20038.858    20185.668
 59  JTT+R4        9986.020     33  20038.041    20040.614    20196.739
 66  JTT+F         10456.974    46  21005.947    21010.981    21227.163
 67  JTT+F+I       10098.107    47  20290.214    20295.473    20516.239
 68  JTT+F+G4      9965.520     47  20025.040    20030.298    20251.064
 69  JTT+F+I+G4    9960.596     48  20017.192    20022.681    20248.026
 70  JTT+F+R2      9993.082     48  20082.163    20087.652    20312.997
 71  JTT+F+R3      9951.898     50  20003.795    20009.760    20244.247
 72  JTT+F+R4      9950.630     52  20005.261    20011.723    20255.331
 79  WAG           10404.511    27  20863.022    20864.744    20992.866
 80  WAG+I         10077.005    28  20210.010    20211.862    20344.664
 81  WAG+G4        9980.885     28  20017.770    20019.621    20152.423
 82  WAG+I+G4      9976.273     29  20010.545    20012.531    20150.007
 83  WAG+R2        9998.865     29  20055.730    20057.716    20195.192
 84  WAG+R3        9968.383     31  19998.765    20001.035    20147.845
 85  WAG+R4        9966.574     33  19999.148    20001.721    20157.846
 92  WAG+F         10368.530    46  20829.059    20834.093    21050.275
 93  WAG+F+I       10038.937    47  20171.874    20177.133    20397.899
 94  WAG+F+G4      9935.918     47  19965.836    19971.095    20191.861
 95  WAG+F+I+G4    9931.279     48  19958.559    19964.048    20189.393
 96  WAG+F+R2      9955.770     48  20007.540    20013.029    20238.374
 97  WAG+F+R3      9923.311     50  19946.622    19952.587    20187.074
 98  WAG+F+R4      9921.737     52  19947.474    19953.936    20197.544
105  cpREV         10356.666    27  20767.332    20769.054    20897.176
106  cpREV+I       10054.050    28  20164.100    20165.951    20298.753
107  cpREV+G4      9952.410     28  19960.821    19962.672    20095.474
108  cpREV+I+G4    9947.622     29  19953.244    19955.230    20092.706
109  cpREV+R2      9972.287     29  20002.574    20004.561    20142.036
110  cpREV+R3      9937.687     31  19937.375    19939.645    20086.455
111  cpREV+R4      9936.439     33  19938.877    19941.451    20097.576
118  cpREV+F       10307.397    46  20706.795    20711.829    20928.011
119  cpREV+F+I     9993.120     47  20080.240    20085.498    20306.264
120  cpREV+F+G4    9893.464     47  19880.928    19886.186    20106.952
121  cpREV+F+I+G4  9888.361     48  19872.722    19878.211    20103.556
122  cpREV+F+R2    9913.803     48  19923.606    19929.095    20154.440
123  cpREV+F+R3    9878.844     50  19857.689    19863.654    20098.141
124  cpREV+F+R4    9876.964     52  19857.928    19864.390    20107.998
131  mtREV         10978.535    27  22011.070    22012.792    22140.914
132  mtREV+I       10605.609    28  21267.219    21269.070    21401.872
133  mtREV+G4      10381.937    28  20819.874    20821.725    20954.527
134  mtREV+I+G4    10378.720    29  20815.439    20817.425    20954.901
135  mtREV+R2      10429.473    29  20916.945    20918.932    21056.408
136  mtREV+R3      10369.079    31  20800.158    20802.428    20949.238
137  mtREV+R4      10367.776    33  20801.552    20804.126    20960.250
144  mtREV+F       10550.078    46  21192.155    21197.189    21413.371
145  mtREV+F+I     10176.361    47  20446.722    20451.981    20672.747
146  mtREV+F+G4    10015.602    47  20125.203    20130.462    20351.228
147  mtREV+F+I+G4  10010.077    48  20116.153    20121.642    20346.987
148  mtREV+F+R2    10053.946    48  20203.891    20209.380    20434.725
149  mtREV+F+R3    10000.719    50  20101.437    20107.402    20341.889
150  mtREV+F+R4    9998.793     52  20101.585    20108.047    20351.655
157  rtREV         10548.156    27  21150.312    21152.034    21280.156
158  rtREV+I       10210.539    28  20477.078    20478.930    20611.731
