IQ-TREE multicore version 1.6.8 for Linux 64-bit built Oct 28 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    sango11814.oist.jp (AVX2, FMA3, 125 GB RAM)
Command: iqtree -s clade_1//aln_seqs/EOG093424OD.aln -bb 1000 -redo -nt 3 -m MFP
Seed:    788990 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Mar  7 05:24:53 2019
Kernel:  AVX+FMA - 3 threads (24 CPU cores detected)

Reading alignment file clade_1//aln_seqs/EOG093424OD.aln ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 15 sequences with 402 columns, 196 distinct patterns
112 parsimony-informative, 70 singleton sites, 219 constant sites
                                    Gap/Ambiguity  Composition  p-value
   1  Candida_glabrata                      0.00%    passed    100.00%
   2  Nakaseomyces_bacillisporus            0.75%    passed     24.69%
   3  Nakaseomyces_bracarensis              0.00%    passed    100.00%
   4  Nakaseomyces_castellii                0.00%    passed     99.74%
   5  Nakaseomyces_delphensis               0.00%    passed    100.00%
   6  Nakaseomyces_nivariensis              0.00%    passed    100.00%
   7  Saccharomyces_arboricola              0.00%    passed    100.00%
   8  Saccharomyces_cerevisiae              0.00%    passed    100.00%
   9  Saccharomyces_eubayanus               0.00%    passed    100.00%
  10  Saccharomyces_kudriavzevii            0.00%    passed    100.00%
  11  Saccharomyces_mikatae                 0.00%    passed    100.00%
  12  Saccharomyces_paradoxus               0.00%    passed    100.00%
  13  Saccharomyces_uvarum                  0.00%    passed    100.00%
  14  Tetrapisispora_blattae                0.00%    passed     99.97%
  15  yHMPu5000035629_Yueomyces_sinensis    0.00%    passed     99.99%
****  TOTAL                                 0.05%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 5 MB RAM!
ModelFinder will test 546 protein models (sample size: 402) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       3334.664     27  6723.329     6727.371     6831.233
  2  Dayhoff+I     3262.440     28  6580.881     6585.235     6692.781
  3  Dayhoff+G4    3252.281     28  6560.563     6564.917     6672.464
  4  Dayhoff+I+G4  3251.413     29  6560.826     6565.503     6676.723
  5  Dayhoff+R2    3255.091     29  6568.181     6572.859     6684.078
  6  Dayhoff+R3    3252.790     31  6567.579     6572.942     6691.470
 14  Dayhoff+F     3290.048     46  6672.095     6684.276     6855.932
 15  Dayhoff+F+I   3212.346     47  6518.692     6531.438     6706.525
 16  Dayhoff+F+G4  3201.877     47  6497.753     6510.499     6685.586
 17  Dayhoff+F+I+G4 3200.771     48  6497.543     6510.868     6689.372
 18  Dayhoff+F+R2  3205.130     48  6506.259     6519.585     6698.089
 19  Dayhoff+F+R3  3201.703     50  6503.406     6517.936     6703.228
 27  mtMAM         3517.196     27  7088.391     7092.434     7196.296
 28  mtMAM+I       3445.901     28  6947.802     6952.156     7059.702
 29  mtMAM+G4      3397.980     28  6851.961     6856.315     6963.862
 30  mtMAM+I+G4    3398.230     29  6854.461     6859.138     6970.358
 31  mtMAM+R2      3402.095     29  6862.190     6866.868     6978.087
 32  mtMAM+R3      3392.559     31  6847.118     6852.480     6971.008
 33  mtMAM+R4      3392.540     33  6851.080     6857.178     6982.963
 40  mtMAM+F       3374.920     46  6841.839     6854.019     7025.676
 41  mtMAM+F+I     3293.036     47  6680.071     6692.817     6867.904
 42  mtMAM+F+G4    3263.695     47  6621.390     6634.136     6809.223
 43  mtMAM+F+I+G4  3263.146     48  6622.292     6635.618     6814.122
 44  mtMAM+F+R2    3266.951     48  6629.901     6643.227     6821.731
 45  mtMAM+F+R3    3260.629     50  6621.258     6635.788     6821.081
 46  mtMAM+F+R4    3260.575     52  6625.151     6640.945     6832.966
 53  JTT           3297.399     27  6648.798     6652.841     6756.702
 54  JTT+I         3232.459     28  6520.919     6525.273     6632.819
 55  JTT+G4        3222.867     28  6501.735     6506.089     6613.635
 56  JTT+I+G4      3222.100     29  6502.200     6506.878     6618.097
 57  JTT+R2        3224.994     29  6507.988     6512.665     6623.885
 58  JTT+R3        3221.600     31  6505.199     6510.561     6629.089
 66  JTT+F         3277.850     46  6647.699     6659.880     6831.536
 67  JTT+F+I       3208.242     47  6510.484     6523.230     6698.317
 68  JTT+F+G4      3197.879     47  6489.757     6502.503     6677.591
 69  JTT+F+I+G4    3196.969     48  6489.938     6503.263     6681.767
 70  JTT+F+R2      3200.332     48  6496.663     6509.989     6688.493
 71  JTT+F+R3      3196.264     50  6492.527     6507.057     6692.350
 79  WAG           3303.277     27  6660.553     6664.596     6768.458
 80  WAG+I         3238.548     28  6533.095     6537.449     6644.996
 81  WAG+G4        3231.633     28  6519.266     6523.620     6631.166
