IQ-TREE multicore version 1.6.8 for Linux 64-bit built Oct 28 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    sango40512.oist.jp (AVX2, FMA3, 755 GB RAM)
Command: iqtree -s clade_2//aln_seqs/EOG09341WRF.aln -bb 1000 -redo -nt 3 -m MFP
Seed:    667132 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Wed Mar  6 08:41:29 2019
Kernel:  AVX+FMA - 3 threads (36 CPU cores detected)

Reading alignment file clade_2//aln_seqs/EOG09341WRF.aln ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 21 sequences with 302 columns, 152 distinct patterns
97 parsimony-informative, 36 singleton sites, 169 constant sites
                                     Gap/Ambiguity  Composition  p-value
   1  Kazachstania_africana                  0.00%    passed     97.54%
   2  Kazachstania_naganishii                0.00%    passed    100.00%
   3  Naumovozyma_castellii                  0.00%    passed    100.00%
   4  Naumovozyma_dairenensis                0.00%    passed    100.00%
   5  Tetrapisispora_blattae                 0.00%    passed    100.00%
   6  yHAB132_Kazachstania_martiniae         0.00%    passed    100.00%
   7  yHAB133_Kazachstania_unispora          0.00%    passed    100.00%
   8  yHAB134_Kazachstania_turicensis        0.00%    passed    100.00%
   9  yHAB136_Kazachstania_bromeliacearum    0.00%    passed    100.00%
  10  yHAB143_Kazachstania_siamensis         0.00%    passed     99.99%
  11  yHAB147_Kazachstania_taianensis        0.00%    passed    100.00%
  12  yHAB148_Kazachstania_intestinalis      0.00%    passed     99.97%
  13  yHAB153_Kazachstania_rosinii           0.00%    passed     99.99%
  14  yHAB154_Kazachstania_transvaalensis    0.00%    passed     99.98%
  15  yHAB155_Kazachstania_spencerorum       0.00%    passed    100.00%
  16  yHAB158_Kazachstania_viticola          0.00%    passed    100.00%
  17  yHAB159_Kazachstania_solicola          0.00%    passed    100.00%
  18  yHAB160_Kazachstania_kunashirensis     0.00%    passed    100.00%
  19  yHAB164_Kazachstania_aerobia           0.00%    passed    100.00%
  20  yHAB166_Kazachstania_yakushimaensis    0.00%    passed    100.00%
  21  yHMPu5000035629_Yueomyces_sinensis     0.00%    passed     92.30%
****  TOTAL                                  0.00%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
NOTE: ModelFinder requires 6 MB RAM!
ModelFinder will test 546 protein models (sample size: 302) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       3716.379     39  7510.758     7522.667     7655.465
  2  Dayhoff+I     3551.072     40  7182.144     7194.711     7330.561
  3  Dayhoff+G4    3509.125     40  7098.251     7110.818     7246.668
  4  Dayhoff+I+G4  3504.709     41  7091.418     7104.664     7243.546
  5  Dayhoff+R2    3516.652     41  7115.303     7128.549     7267.431
  6  Dayhoff+R3    3502.708     43  7091.416     7106.082     7250.964
  7  Dayhoff+R4    3502.631     45  7095.262     7111.434     7262.232
 14  Dayhoff+F     3692.576     58  7501.152     7529.317     7716.357
 15  Dayhoff+F+I   3529.227     59  7176.453     7205.710     7395.369
 16  Dayhoff+F+G4  3487.758     59  7093.516     7122.772     7312.431
 17  Dayhoff+F+I+G4 3484.542     60  7089.084     7119.457     7311.709
 18  Dayhoff+F+R2  3495.203     60  7110.405     7140.779     7333.031
 19  Dayhoff+F+R3  3482.812     62  7089.623     7122.310     7319.670
 20  Dayhoff+F+R4  3482.604     64  7093.208     7128.313     7330.675
 27  mtMAM         4222.001     39  8522.002     8533.911     8666.709
 28  mtMAM+I       3991.568     40  8063.136     8075.703     8211.553
 29  mtMAM+G4      3853.911     40  7787.822     7800.389     7936.240
 30  mtMAM+I+G4    3845.036     41  7772.072     7785.318     7924.200
 31  mtMAM+R2      3890.151     41  7862.302     7875.548     8014.429
 32  mtMAM+R3      3848.374     43  7782.749     7797.416     7942.297
 33  mtMAM+R4      3840.351     45  7770.703     7786.875     7937.672
 34  mtMAM+R5      3840.326     47  7774.653     7792.417     7949.043
 40  mtMAM+F       3999.147     58  8114.294     8142.459     8329.499
 41  mtMAM+F+I     3774.650     59  7667.300     7696.556     7886.215
 42  mtMAM+F+G4    3685.774     59  7489.548     7518.804     7708.463
 43  mtMAM+F+I+G4  3679.089     60  7478.178     7508.551     7700.803
 44  mtMAM+F+R2    3718.387     60  7556.774     7587.148     7779.400
 45  mtMAM+F+R3    3680.535     62  7485.070     7517.756     7715.117
 46  mtMAM+F+R4    3672.763     64  7473.526     7508.631     7710.993
 47  mtMAM+F+R5    3672.737     66  7477.474     7515.108     7722.362
 53  JTT           3719.376     39  7516.752     7528.661     7661.459
 54  JTT+I         3550.394     40  7180.787     7193.354     7329.204
 55  JTT+G4        3509.885     40  7099.771     7112.338     7248.188
 56  JTT+I+G4      3505.932     41  7093.863     7107.109     7245.991
 57  JTT+R2        3516.532     41  7115.065     7128.311     7267.192
 58  JTT+R3        3505.160     43  7096.321     7110.988     7255.869
