IQ-TREE multicore version 1.6.8 for Linux 64-bit built Oct 28 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    sango11814.oist.jp (AVX2, FMA3, 125 GB RAM)
Command: iqtree -s clade_1//aln_seqs/EOG09341QEM.aln -bb 1000 -redo -nt 3 -m MFP
Seed:    713988 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Thu Mar  7 05:25:02 2019
Kernel:  AVX+FMA - 3 threads (24 CPU cores detected)

Reading alignment file clade_1//aln_seqs/EOG09341QEM.aln ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 15 sequences with 414 columns, 205 distinct patterns
129 parsimony-informative, 61 singleton sites, 223 constant sites
                                    Gap/Ambiguity  Composition  p-value
   1  Candida_glabrata                      0.00%    passed     99.98%
   2  Nakaseomyces_bacillisporus            0.00%    passed     99.82%
   3  Nakaseomyces_bracarensis              0.00%    passed     99.97%
   4  Nakaseomyces_castellii                0.00%    passed     68.12%
   5  Nakaseomyces_delphensis               0.00%    passed     99.99%
   6  Nakaseomyces_nivariensis              0.00%    passed    100.00%
   7  Saccharomyces_arboricola              0.00%    passed    100.00%
   8  Saccharomyces_cerevisiae              0.00%    passed    100.00%
   9  Saccharomyces_eubayanus               0.24%    passed    100.00%
  10  Saccharomyces_kudriavzevii            0.00%    passed    100.00%
  11  Saccharomyces_mikatae                 0.00%    passed    100.00%
  12  Saccharomyces_paradoxus               0.00%    passed    100.00%
  13  Saccharomyces_uvarum                  0.00%    passed    100.00%
  14  Tetrapisispora_blattae                0.00%    passed     98.66%
  15  yHMPu5000035629_Yueomyces_sinensis    0.00%    passed     95.18%
****  TOTAL                                 0.02%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 6 MB RAM!
ModelFinder will test 546 protein models (sample size: 414) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       4351.643     27  8757.285     8761.202     8865.984
  2  Dayhoff+I     4164.834     28  8385.668     8389.886     8498.392
  3  Dayhoff+G4    4101.937     28  8259.875     8264.093     8372.599
  4  Dayhoff+I+G4  4097.351     29  8252.702     8257.233     8369.452
  5  Dayhoff+R2    4113.830     29  8285.661     8290.192     8402.411
  6  Dayhoff+R3    4093.296     31  8248.592     8253.786     8373.394
  7  Dayhoff+R4    4092.671     33  8251.342     8257.247     8384.195
 14  Dayhoff+F     4326.148     46  8744.295     8756.078     8929.485
 15  Dayhoff+F+I   4138.273     47  8370.545     8382.873     8559.761
 16  Dayhoff+F+G4  4070.341     47  8234.681     8247.009     8423.897
 17  Dayhoff+F+I+G4 4065.397     48  8226.794     8239.682     8420.035
 18  Dayhoff+F+R2  4082.945     48  8261.890     8274.778     8455.132
 19  Dayhoff+F+R3  4059.766     50  8219.532     8233.581     8420.825
 20  Dayhoff+F+R4  4059.218     52  8222.435     8237.704     8431.780
 27  mtMAM         4918.436     27  9890.872     9894.789     9999.570
 28  mtMAM+I       4644.175     28  9344.351     9348.569     9457.075
 29  mtMAM+G4      4383.105     28  8822.210     8826.428     8934.934
 30  mtMAM+I+G4    4378.161     29  8814.322     8818.853     8931.072
 31  mtMAM+R2      4426.544     29  8911.089     8915.620     9027.839
 32  mtMAM+R3      4370.923     31  8803.846     8809.039     8928.647
 33  mtMAM+R4      4367.431     33  8800.862     8806.767     8933.716
 40  mtMAM+F       4616.459     46  9324.918     9336.700     9510.107
 41  mtMAM+F+I     4346.400     47  8786.800     8799.128     8976.016
 42  mtMAM+F+G4    4161.999     47  8417.998     8430.326     8607.214
 43  mtMAM+F+I+G4  4157.020     48  8410.041     8422.928     8603.282
 44  mtMAM+F+R2    4200.521     48  8497.043     8509.931     8690.285
 45  mtMAM+F+R3    4145.812     50  8391.624     8405.674     8592.917
 46  mtMAM+F+R4    4144.871     52  8393.742     8409.011     8603.087
 53  JTT           4343.650     27  8741.299     8745.216     8849.997
